,City,Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Latitude,Longitude
526,bahia blanca,57.7,51,100,10.09,-38.72,-62.27
527,addis zemen,,,,,,
528,bad freienwalde,62.42,55,20,8.05,52.79,14.03
529,husavik,80.47,52,97,5.99,50.56,-96.99
530,bella vista,64.4,48,1,10.29,-27.03,-65.31
531,panguna,80.2,83,100,16.22,-6.32,155.48
532,crab hill,,,,,,
533,piryion,,,,,,
534,marawi,75,93,77,5.99,8,124.29
535,mehran,86,17,0,11.41,33.12,46.17
536,chara,92.88,26,20,12.75,39.42,22.43
537,gulshat,,,,,,
538,bubaque,78.04,90,99,17.9,11.28,-15.83
539,wairoa,44.01,99,21,3.36,-39.04,177.43
540,itarema,83.62,68,56,11.56,-2.92,-39.92
541,qandala,91.36,51,30,8.75,11.47,49.87
542,puerto ayacucho,80.6,83,75,9.73,5.66,-67.63
543,torbat-e jam,80.56,23,0,14.67,35.24,60.63
544,yerbogachen,65.8,58,78,6.71,61.28,108.01
545,clyde river,51.8,76,20,2.24,70.47,-68.59
546,dobryanka,53.6,93,40,4.47,58.45,56.42
547,praia,69.12,42,0,11.41,-20.25,-43.81
548,krasnoye,81.72,36,0,11.18,44.87,39.46
549,cabatuan,76.78,86,99,2.33,16.95,121.67
550,pilot butte,74.66,73,75,10.29,50.48,-104.42
551,cairns,67.73,94,75,11.41,-16.92,145.77
552,katherine,57.2,71,44,6.93,-14.47,132.26
553,kotma,76.06,90,100,8.32,23.2,81.98
554,saint-augustin,78.37,41,20,4.7,45.63,-73.98
555,aflu,,,,,,
556,naron,64.4,82,40,11.41,43.52,-8.15
557,sorland,51.15,100,90,13.87,67.67,12.69
558,iracoubo,81.82,84,46,5.95,5.48,-53.21
559,sedelnikovo,,,,,,
560,hernani,67.5,88,90,3.36,43.27,-1.98
561,jhabua,79.66,84,99,13.65,22.77,74.59
562,kavieng,83.26,71,100,8.9,-2.57,150.8
563,yangambi,74.62,81,6,2.57,0.77,24.47
564,himatangi,47.75,75,52,3,-40.4,175.32
565,arlit,103.6,11,0,2.93,18.74,7.39
566,tucuman,69.76,18,0,9.95,-17.17,-70.89
567,pedasi,82.54,72,100,4.38,7.53,-80.03
568,maldonado,57.2,50,0,5.82,-34.91,-54.96
569,kisangani,74.08,83,8,2.33,0.52,25.21
570,anchorage,68.14,64,0,1.41,61.22,-149.89
571,barao de melgaco,86,22,0,2.24,-16.19,-55.97
572,ekhabi,44.92,93,29,6.4,53.51,142.97
573,celestun,83.26,68,41,9.35,20.87,-90.4
574,am timan,74.26,86,100,2.37,11.04,20.28
575,barcelos,89.56,54,17,2.08,-0.97,-62.93
576,harper,85.82,58,1,10.29,30.3,-99.24
577,fochville,56.16,30,0,1.12,-26.49,27.49
578,saryshagan,,,,,,
579,rincon,68.45,66,40,5.82,8.46,-82.28
580,poronaysk,50.14,92,90,8.14,49.22,143.1
581,jinchang,56.08,70,94,6.6,38.52,102.19
582,aripuana,91.54,30,0,4.07,-9.17,-60.63
583,gelterkinden,68.76,56,49,6.93,47.46,7.85
584,belmonte,73.65,43,16,10.63,40.36,-7.35
585,aklavik,54.72,76,75,4.7,68.22,-135.01
586,lata,48.52,98,100,4.5,30.78,78.62
587,kashi,,,,,,
588,talnakh,50,76,0,26.84,69.49,88.39
589,nova olimpia,88.66,23,0,3.42,-14.8,-57.29
590,hun,64.17,42,20,11.41,50.34,4.87
591,meadow lake,53.6,93,75,8.05,54.13,-108.44
592,lolua,,,,,,
593,antalaha,67.42,93,37,1.28,-14.9,50.28
594,neyshabur,78.4,27,0,4,36.21,58.79
595,vilhena,80.6,36,0,8.05,-12.74,-60.15
596,ambilobe,74.08,82,7,4.38,-13.19,49.05
597,tarudant,,,,,,
598,ossora,47.62,94,100,3.78,59.24,163.07
599,pimentel,81.82,89,17,3.15,-3.7,-45.5
600,nemuro,52.3,88,5,5.46,43.32,145.57
601,sola,76.6,39,87,9.17,-3.17,33.8
602,dawlatabad,89.02,17,0,14.67,36.41,64.91
603,verkh-suetka,61.3,56,0,9.13,53.3,80.05
604,xichang,57.16,99,100,2.13,27.88,102.25
605,berdigestyakh,63.82,97,67,3.44,62.1,126.7
606,khuzhir,56.62,59,18,2.39,53.19,107.35
607,catamarca,,,,,,
608,aranos,55.72,27,0,11.14,-24.14,19.11
609,andra,56.08,77,57,11.52,62.52,65.89
610,inta,50.68,77,100,3.09,66.04,60.13
611,kadykchan,,,,,,
612,sicamous,67.98,87,20,3.36,50.84,-118.99
613,anadyr,55.18,82,0,2.24,64.73,177.51
614,mbini,80.6,83,40,9.17,1.58,9.62
